date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:17	10466/10466	---M--	200	added ('OK')	image/jpeg	etag:%22434180a-28e2-53c0325d77940%22	https://www.sordum.org/wp-content/uploads/2016/08/powerrun-1.jpg	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2016/08/powerrun-1.jpg	(from https://www.sordum.org/page/3/)
10:04:17	0/-1	---M--	301	error ('')			https://www.sordum.org/xmlrpc.php	C:/My%20Web%20Sites/sordum/www.sordum.org/xmlrpc.eb.delayed	(from https://www.sordum.org/page/8/)
10:04:18	12744/12744	---M--	200	added ('OK')	image/jpeg	etag:%2243024f2-31c8-5235676de6800%22	https://www.sordum.org/wp-content/uploads/2015/10/Easy_context_menu.jpg	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2015/10/Easy_context_menu.jpg	(from https://www.sordum.org/page/3/)
10:04:18	48687/48687	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2003:04:16%20GMT	https://www.sordum.org/page/5/	C:/My%20Web%20Sites/sordum/www.sordum.org/page/5/index.html	(from https://www.sordum.org/page/3/)
10:04:18	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Jun%202019%2003:04:16%20GMT	https://www.sordum.org/page/8/google6e13bcb7e2a5b394.html	C:/My%20Web%20Sites/sordum/www.sordum.org/page/8/google6e13bcb7e2a5b394.html	(from https://www.sordum.org/page/8/)
10:04:18	0/-1	---M--	301	error ('')			https://www.sordum.org/xmlrpc.php?rsd	C:/My%20Web%20Sites/sordum/www.sordum.org/xmlrpc.ed0db0.delayed	(from https://www.sordum.org/page/8/)
10:04:19	0/-1	---M--	301	error ('')			https://www.sordum.org/xmlrpc.php	C:/My%20Web%20Sites/sordum/www.sordum.org/xmlrpc.ee.delayed	(from https://www.sordum.org/7952/dns-jumper-v2-1/)
10:04:19	0/-1	---M--	301	error ('')			https://www.sordum.org/xmlrpc.php?rsd	C:/My%20Web%20Sites/sordum/www.sordum.org/xmlrpc.ef0db0.delayed	(from https://www.sordum.org/7952/dns-jumper-v2-1/)
10:04:19	48514/48514	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2003:04:17%20GMT	https://www.sordum.org/page/7/	C:/My%20Web%20Sites/sordum/www.sordum.org/page/7/index.html	(from https://www.sordum.org/page/8/)
10:04:19	48541/48541	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2003:04:17%20GMT	https://www.sordum.org/page/6/	C:/My%20Web%20Sites/sordum/www.sordum.org/page/6/index.html	(from https://www.sordum.org/page/8/)
10:04:20	67491/67491	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2003:04:17%20GMT	https://www.sordum.org/7952/dns-jumper-v2-1/2/	C:/My%20Web%20Sites/sordum/www.sordum.org/7952/dns-jumper-v2-1/2/index.html	(from https://www.sordum.org/7952/dns-jumper-v2-1/)
10:04:20	9339/9339	---MCZ	200	added ('OK')	application/rss+xml	etag:%227342bc6b200bb2be071ce0b58396a06a%22	https://www.sordum.org/7952/dns-jumper-v2-1/feed/	C:/My%20Web%20Sites/sordum/www.sordum.org/7952/dns-jumper-v2-1/feed/index.html	(from https://www.sordum.org/7952/dns-jumper-v2-1/)
10:04:20	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Jun%202019%2003:04:18%20GMT	https://www.sordum.org/?p=7952	C:/My%20Web%20Sites/sordum/www.sordum.org/indexa613.html	(from https://www.sordum.org/7952/dns-jumper-v2-1/)
10:04:20	2393/2393	---MCZ	200	added ('OK')	application/json	date:Tue,%2011%20Jun%202019%2003:04:18%20GMT	https://www.sordum.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sordum.org%2F7952%2Fdns-jumper-v2-1%2F	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-json/oembed/1.0/embed607f.json	(from https://www.sordum.org/7952/dns-jumper-v2-1/)
10:04:21	2526/2526	---MCZ	200	added ('OK')	text/xml	date:Tue,%2011%20Jun%202019%2003:04:19%20GMT	https://www.sordum.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sordum.org%2F7952%2Fdns-jumper-v2-1%2F&format=xml	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-json/oembed/1.0/embed18ee	(from https://www.sordum.org/7952/dns-jumper-v2-1/)
10:04:21	11467/11467	---M--	200	added ('OK')	image/png	etag:%224322c21-2ccb-54559e4684d80%22	https://www.sordum.org/wp-content/uploads/2013/10/dns_jumper_v20.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2013/10/dns_jumper_v20.png	(from https://www.sordum.org/7952/dns-jumper-v2-1/)
10:04:22	12421/12421	---M--	200	added ('OK')	image/png	etag:%224322c20-3085-54559e449c900%22	https://www.sordum.org/wp-content/uploads/2013/10/dns_jumper_main_gui.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2013/10/dns_jumper_main_gui.png	(from https://www.sordum.org/7952/dns-jumper-v2-1/)
10:04:22	39388/39388	---M--	200	added ('OK')	image/png	etag:%224322c2a-99dc-54559e43a86c0%22	https://www.sordum.org/wp-content/uploads/2013/10/dns_jumper_change_dns.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2013/10/dns_jumper_change_dns.png	(from https://www.sordum.org/7952/dns-jumper-v2-1/)
10:04:23	12984/12984	---M--	200	added ('OK')	image/png	etag:%224322c1d-32b8-54559e41c0240%22	https://www.sordum.org/wp-content/uploads/2013/10/dns_jumper_backup_restore_dns.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2013/10/dns_jumper_backup_restore_dns.png	(from https://www.sordum.org/7952/dns-jumper-v2-1/)
